,0
0,Illinois
1,Indiana
2,Missouri
3,Colorado
4,Vermont
5,Tennessee
6,Louisiana
7,New Hampshire
8,Michigan
9,Florida
10,Idaho
11,North Carolina
12,Oregon
13,Maryland
14,California
15,New Mexico
16,North Dakota
17,Wyoming
18,Delaware
19,Ohio
20,Wisconsin
21,New Jersey
22,Washington
23,Mississippi
24,Arkansas
25,Rhode Island
26,South Dakota
27,Texas
28,Alaska
29,Minnesota
30,Utah
31,Hawaii
32,Virginia
33,Kansas
34,Pennsylvania
35,Montana
36,Connecticut
37,Iowa
38,Massachusetts
39,Nevada
40,Oklahoma
41,Maine
42,South Carolina
43,Kentucky
44,Nebraska
45,West Virginia
46,Arizona
47,New York
48,Georgia
